,0
2287,2.22
2288,3.77
2289,
2290,2.06
2291,2.04
2292,2.36
2293,3.98
2294,9.05
2295,2.83
2296,3.14
2297,2.22
2298,3.88
2299,5.54
2300,2.57
2301,
2302,1.45
2303,2.78
2304,1.94
2305,
2306,2.78
2307,2.36
2308,2.36
2309,1.75
2310,3.1
2311,1.7
2312,2.64
2313,2.42
2314,2.09
2315,3.11
2316,4.76
2317,10.09
2318,4.61
2319,2.95
2320,2.78
2321,1.7
2322,3.23
2323,5.48
2324,2.66
2325,3.03
2326,2.28
2327,
2328,1.84
2329,4.81
2330,2.11
2331,4.38
2332,4.48
2333,3.1
2334,
2335,4.45
2336,2.22
2337,3.66
2338,2.78
2339,3.66
2340,4.33
