"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"165","346.l.49099.t.9",16543,50,7,2015,"IP",7,2.57,0.285555555555556,0.0951851851851852,1.62
"166","346.l.49099.t.10",16543,50,1,2015,"IP",1,0,0,0,1.62
"167","346.l.49099.t.11",16543,50,15,2015,"IP",15,1.8,0.2,0.0666666666666667,1.62
"168","346.l.49099.t.12",16543,50,1.333,2015,"IP",2,0,0,0,1.62
"169","346.l.49099.t.1",16544,50,8,2015,"IP",8,1.12,0.124444444444444,0.0414814814814815,1.62
"170","346.l.49099.t.2",16544,50,13.333,2015,"IP",14,3.38,0.375555555555556,0.125185185185185,1.62
"171","346.l.49099.t.3",16544,50,2,2015,"IP",2,4.5,0.5,0.166666666666667,1.62
"172","346.l.49099.t.4",16544,50,6,2015,"IP",6,6,0.666666666666667,0.222222222222222,1.62
"173","346.l.49099.t.5",16544,50,NA,2015,"IP",11,8.18,0.908888888888889,0.302962962962963,1.62
"174","346.l.49099.t.6",16544,50,8.667,2015,"IP",9,0,0,0,1.62
"175","346.l.49099.t.7",16544,50,13,2015,"IP",13,6.23,0.692222222222222,0.230740740740741,1.62
"176","346.l.49099.t.8",16544,50,8.667,2015,"IP",9,3.12,0.346666666666667,0.115555555555556,1.62
"177","346.l.49099.t.9",16544,50,NA,2015,"IP",13,2.13,0.236666666666667,0.0788888888888889,1.62
"178","346.l.49099.t.10",16544,50,8.333,2015,"IP",9,1.08,0.12,0.04,1.62
"179","346.l.49099.t.11",16544,50,4,2015,"IP",4,4.5,0.5,0.166666666666667,1.62
"180","346.l.49099.t.12",16544,50,8.333,2015,"IP",9,3.24,0.36,0.12,1.62
"181","346.l.49099.t.1",16545,50,2,2015,"IP",2,0,0,0,1.62
"182","346.l.49099.t.2",16545,50,3,2015,"IP",3,15,1.66666666666667,0.555555555555556,1.62
"183","346.l.49099.t.3",16545,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"184","346.l.49099.t.4",16545,50,7.333,2015,"IP",8,6.14,0.682222222222222,0.227407407407407,1.62
"185","346.l.49099.t.5",16545,50,2,2015,"IP",2,0,0,0,1.62
"186","346.l.49099.t.6",16545,50,8,2015,"IP",8,1.12,0.124444444444444,0.0414814814814815,1.62
"187","346.l.49099.t.7",16545,50,10.333,2015,"IP",11,0.87,0.0966666666666667,0.0322222222222222,1.62
"188","346.l.49099.t.8",16545,50,1,2015,"IP",1,18,2,0.666666666666667,1.62
"189","346.l.49099.t.9",16545,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"190","346.l.49099.t.10",16545,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"191","346.l.49099.t.11",16545,50,17.667,2015,"IP",18,1.02,0.113333333333333,0.0377777777777778,1.62
"192","346.l.49099.t.12",16545,50,5.333,2015,"IP",6,6.75,0.75,0.25,1.62
"193","346.l.49099.t.1",16546,50,7.333,2015,"IP",8,1.23,0.136666666666667,0.0455555555555556,1.62
"194","346.l.49099.t.2",16546,50,1,2015,"IP",1,0,0,0,1.62
"195","346.l.49099.t.3",16546,50,15,2015,"IP",15,2.4,0.266666666666667,0.0888888888888889,1.62
"196","346.l.49099.t.4",16546,50,6.333,2015,"IP",7,5.68,0.631111111111111,0.21037037037037,1.62
"197","346.l.49099.t.5",16546,50,7,2015,"IP",7,0,0,0,1.62
"198","346.l.49099.t.6",16546,50,7,2015,"IP",7,1.29,0.143333333333333,0.0477777777777778,1.62
"199","346.l.49099.t.7",16546,50,4.333,2015,"IP",5,6.23,0.692222222222222,0.230740740740741,1.62
"200","346.l.49099.t.8",16546,50,8,2015,"IP",8,5.62,0.624444444444444,0.208148148148148,1.62
"201","346.l.49099.t.9",16546,50,6.333,2015,"IP",7,9.95,1.10555555555556,0.368518518518518,1.62
"202","346.l.49099.t.10",16546,50,3,2015,"IP",3,0,0,0,1.62
"203","346.l.49099.t.11",16546,50,2.667,2015,"IP",3,6.75,0.75,0.25,1.62
"204","346.l.49099.t.12",16546,50,6.667,2015,"IP",7,4.05,0.45,0.15,1.62
"205","346.l.49099.t.1",16547,50,NA,2015,"IP",12,3,0.333333333333333,0.111111111111111,1.62
"206","346.l.49099.t.2",16547,50,13,2015,"IP",13,4.85,0.538888888888889,0.17962962962963,1.62
"207","346.l.49099.t.3",16547,50,3.667,2015,"IP",4,19.64,2.18222222222222,0.727407407407407,1.62
"208","346.l.49099.t.4",16547,50,8,2015,"IP",8,1.12,0.124444444444444,0.0414814814814815,1.62
"209","346.l.49099.t.5",16547,50,8.667,2015,"IP",9,1.04,0.115555555555556,0.0385185185185185,1.62
"210","346.l.49099.t.6",16547,50,NA,2015,"IP",23,2.82,0.313333333333333,0.104444444444444,1.62
"211","346.l.49099.t.7",16547,50,5.667,2015,"IP",6,7.94,0.882222222222222,0.294074074074074,1.62
"212","346.l.49099.t.8",16547,50,14.667,2015,"IP",15,4.3,0.477777777777778,0.159259259259259,1.62
"213","346.l.49099.t.9",16547,50,2,2015,"IP",2,0,0,0,1.62
"214","346.l.49099.t.10",16547,50,NA,2015,"IP",23,1.59,0.176666666666667,0.0588888888888889,1.62
"215","346.l.49099.t.11",16547,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"216","346.l.49099.t.12",16547,50,14,2015,"IP",14,5.14,0.571111111111111,0.19037037037037,1.62
"217","346.l.49099.t.1",16548,50,2,2015,"IP",2,0,0,0,1.62
"218","346.l.49099.t.2",16548,50,NA,2015,"IP",13,4.38,0.486666666666667,0.162222222222222,1.62
"219","346.l.49099.t.3",16548,50,6.667,2015,"IP",7,2.7,0.3,0.1,1.62
"220","346.l.49099.t.4",16548,50,3,2015,"IP",3,0,0,0,1.62
"221","346.l.49099.t.5",16548,50,2.667,2015,"IP",3,3.38,0.375555555555556,0.125185185185185,1.62
"222","346.l.49099.t.6",16548,50,1.333,2015,"IP",2,0,0,0,1.62
